ID_RESTAURANTE,NOMBRE_RESTAURANTE,ZONA,NUM_EDIFICIO,CALLE,CODIGO_POSTAL,LATITUD,LONGITUD,COCINA,FECHA,VIOLACION,GRAVEDAD,PUNTAJE,CALIFICACION,ID_EDIFICIO,TIPO_COMPETENCIA
40364518,7B BAR,Manhattan,108,AVENUE B,10009,40.72498456242,-73.98128264905,American,2025-06-30,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,1005094,Indirecta (Tráfico)
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),Manhattan,215,WEST   57 STREET,10019,40.76588694132,-73.98089566547,American,2025-03-17,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,1080846,Indirecta (Tráfico)
40364572,DONOHUE'S STEAK HOUSE,Manhattan,845,LEXINGTON AVENUE,10065,40.76551288451,-73.965769788,Steakhouse,2024-10-23,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10.0,A,1042358,Indirecta (Tráfico)
40364715,OLD HOMESTEAD,Manhattan,56,9 AVENUE,10011,40.74137222436,-74.0050377551,American,2023-03-23,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,12.0,A,1013042,Indirecta (Tráfico)
40365166,CORNER BISTRO,Manhattan,331,WEST    4 STREET,10014,40.73792484731,-74.00386111603,American,2025-06-10,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,1011036,Indirecta (Tráfico)
40365239,DORRIAN'S RED HAND,Manhattan,1616,2 AVENUE,10028,40.77640496626,-73.95280206566,American,2025-11-25,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13.0,A,1049947,Indirecta (Tráfico)
40365288,KEATS,Manhattan,842,2 AVENUE,10017,40.75159837057,-73.97089490105,American,2024-10-09,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12.0,A,1038769,Indirecta (Tráfico)
40365387,ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012,40.72723405204,-74.00051593521,Italian,2023-03-20,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,1008279,Indirecta (Tráfico)
40365577,V & T PIZZERIA,Manhattan,1024,AMSTERDAM AVENUE,10025,40.80332942053,-73.96361191495,Italian,2024-09-18,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33.0,Sin Calificación,1056908,Indirecta (Tráfico)
40365644,JOE ALLEN,Manhattan,326,WEST   46 STREET,10036,40.76017889667,-73.98888203174,American,2025-01-28,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,12.0,A,1025016,Indirecta (Tráfico)
40365789,PATSY'S ITALIAN RESTAURANT,Manhattan,236,WEST   56 STREET,10019,40.76561819528,-73.98239751366,Italian,2025-08-12,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,17.0,Sin Calificación,1024883,Indirecta (Tráfico)
40365882,NEW YORK PIZZA SUPREMA,Manhattan,413,8 AVENUE,10001,40.75003195155,-73.99504098942,Pizza,2025-04-14,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,1013536,Indirecta (Tráfico)
40365942,HOP KEE,Manhattan,21,MOTT STREET,10013,40.71436383248,-73.9987843604,Chinese,2025-01-06,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10.0,A,1001821,Indirecta (Tráfico)
40365968,NANCY WHISKEY PUB,Manhattan,1,LISPENARD STREET,10013,40.72053945767,-74.00501092128,American,2024-09-24,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10.0,A,1002726,Indirecta (Tráfico)
40366473,TIO PEPE,Manhattan,168,WEST    4 STREET,10014,40.7320565971,-74.00144328026,Seafood,2023-12-05,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12.0,A,1010145,Indirecta (Tráfico)
40366716,SHUN LEE PALACE,Manhattan,155,EAST   55 STREET,10022,40.75937665307,-73.96948371139,Chinese,2023-06-06,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,1036515,Indirecta (Tráfico)
40367189,KENN'S BROOME STREET BAR,Manhattan,363,WEST BROADWAY,10013,40.72311686096,-74.00312428099,American,2025-11-12,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,1007063,Indirecta (Tráfico)
40367241,JG MELON,Manhattan,1291,3 AVENUE,10021,40.77119250092,-73.95953181829,American,2025-01-28,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9.0,A,1044019,Indirecta (Tráfico)
40367338,"TAP ROOM, GRAB & GO",Manhattan,180,CENTRAL PARK SOUTH,10019,40.76671822299,-73.97873659477,American,2024-12-10,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,1023750,Indirecta (Tráfico)
40367339,COCKTAIL ROOM (NYAC),Manhattan,180,CENTRAL PARK SOUTH,10019,40.76671822299,-73.97873659477,American,2023-12-14,Wash hands sign not posted near or above hand washing sink.,Not Critical,2.0,A,1023750,Indirecta (Tráfico)
40367365,THE FLAME DINER,Manhattan,893,9 AVENUE,10019,40.76843198493,-73.9853426732,American,2025-12-11,Hot TCS food item not held at or above 140 °F.,Critical,11.0,A,1026889,Indirecta (Tráfico)
40367373,JACKSON HOLE,Manhattan,232,EAST   64 STREET,10065,40.76430996743,-73.96345642747,Hamburgers,2024-12-09,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,13.0,A,1043865,Indirecta (Tráfico)
40367728,MIMI'S,Manhattan,984,SECOND AVENUE,10022,40.75621689872,-73.9675288076,Italian,2025-10-01,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,12.0,A,1039779,Indirecta (Tráfico)
40367752,GRIFFIS FACULTY CLUB,Manhattan,521,EAST   68 STREET,10065,40.76415611239,-73.95528359282,American,2025-02-07,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11.0,A,1084781,Indirecta (Tráfico)
40367841,CAFE FIORELLO,Manhattan,1900,BROADWAY,10023,40.7715111492,-73.98215044646,Italian,2025-02-03,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,A,1027472,Indirecta (Tráfico)
40368223,OYSTER BAR,Manhattan,nan,GRAND CENTRAL TERMINAL,10017,40.75248636787,-73.97726855596,Seafood,2025-10-07,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,nan,Indirecta (Tráfico)
40368271,CHERRY TAVERN,Manhattan,441,EAST    6 STREET,10009,40.72599520843,-73.98519690442,American,2025-01-07,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,1005797,Indirecta (Tráfico)
40368313,RED FLAME DINER,Manhattan,67,WEST   44 STREET,10036,40.75562720334,-73.98193815027,American,2025-01-13,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12.0,A,1034217,Indirecta (Tráfico)
40368318,MAGGIE'S PLACE,Manhattan,21,EAST   47 STREET,10017,40.75615887998,-73.97738641173,American,2024-07-16,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13.0,A,1035419,Indirecta (Tráfico)
40368338,BRADY'S,Manhattan,1583,2 AVENUE,10028,40.77543362087,-73.95353209001,American,2024-08-28,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,1048656,Indirecta (Tráfico)
40368374,JIMMY'S CORNER,Manhattan,140,WEST   44 STREET,10036,40.75661292367,-73.98433100434,American,2025-02-24,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12.0,A,1022619,Indirecta (Tráfico)
40368555,IL CORTILE,Manhattan,123,MULBERRY STREET,10013,40.71789085064,-73.99810609883,Italian,2025-10-15,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,13.0,A,1002653,Indirecta (Tráfico)
40368581,MARIE'S CRISIS,Manhattan,59,GROVE STREET,10014,40.73313525167,-74.0032871242,American,2025-12-16,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,5.0,A,1010203,Indirecta (Tráfico)
40368752,RAOUL'S,Manhattan,180,PRINCE STREET,10012,40.72632002803,-74.00203484931,French,2025-01-08,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,1007784,Indirecta (Tráfico)
40368763,THE BROOK,Manhattan,111,EAST   54 STREET,10022,40.75942658741,-73.97154121128,American,2024-10-22,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,1036477,Indirecta (Tráfico)
40368824,DOUBLES CLUB,Manhattan,783,5 AVENUE,10022,40.76453214513,-73.97280972968,American,2024-11-12,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4.0,A,1040751,Indirecta (Tráfico)
40368897,HATSUHANA,Manhattan,17,EAST   48 STREET,10017,40.75689168853,-73.97717319847,Japanese,2025-05-22,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13.0,A,1035435,Indirecta (Tráfico)
40369016,VIAND COFFEE SHOP,Manhattan,673,MADISON AVENUE,10065,40.76492405341,-73.97041614682,Greek,2025-11-19,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,13.0,A,1040850,Indirecta (Tráfico)
40369165,REIF'S TAVERN,Manhattan,302,EAST   92 STREET,10128,40.78151113898,-73.94857730019,American,2025-07-07,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,30.0,Sin Calificación,1050238,Indirecta (Tráfico)
40369418,CAFFE REGGIO,Manhattan,119,MAC DOUGAL STREET,10012,40.73020663401,-74.00031751281,Italian,2025-08-09,Workplace SFAA policy not prominently posted in workplace.,Not Applicable,0.0,Sin Calificación,1008746,Indirecta (Tráfico)
40369461,CAFE UN DEUX TROIS,Manhattan,123,WEST   44 STREET,10036,40.75648387114,-73.98397730097,French,2025-01-09,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27.0,B,1022629,Indirecta (Tráfico)
40369521,KNICKERBOCKER BAR & GRILL,Manhattan,33,UNIVERSITY PLACE,10003,40.73196863947,-73.99445059476,Steakhouse,2025-05-14,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,1009090,Indirecta (Tráfico)
40369619,MUDVILLE9,Manhattan,126,CHAMBERS STREET,10007,40.71529946809,-74.00879096576,American,2025-12-03,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,1001482,Indirecta (Tráfico)
40369878,VILLA MOSCONI,Manhattan,69,MACDOUGAL STREET,10012,40.72853780392,-74.0017318445,Italian,2025-04-17,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25.0,B,1008307,Indirecta (Tráfico)
40369958,SPARKS STEAKHOUSE,Manhattan,210,EAST   46 STREET,10017,40.7530973082,-73.97209615547,Steakhouse,2024-10-09,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,1037596,Indirecta (Tráfico)
40370168,EAR INN,Manhattan,326,SPRING STREET,10013,40.72599304179,-74.00930109166,American,2025-04-15,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,1010344,Indirecta (Tráfico)
40370436,ROSSINI'S,Manhattan,108,EAST   38 STREET,10016,40.7493494254,-73.97894066275,Italian,2024-12-26,"Shellfish not from approved source, not or improperly tagged/labeled; tags not retained for 90 days.",Critical,13.0,A,1019118,Indirecta (Tráfico)
40370463,THREE GUY'S RESTAURANT,Manhattan,960,MADISON AVENUE,10021,40.77397437678,-73.96384103552,American,2025-03-26,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11.0,A,1041694,Indirecta (Tráfico)
40370507,THE PLAYERS,Manhattan,16,GRAMERCY PARK SOUTH,10003,40.73777589867,-73.98648251565,American,2024-09-05,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11.0,A,1017938,Indirecta (Tráfico)
40370766,SMITH & WOLLENSKY,Manhattan,201,EAST   49 STREET,10017,40.755051274,-73.97087533929,American,2025-01-08,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12.0,A,1038223,Indirecta (Tráfico)
40370856,OLIVE TREE CAFE & COMEDY CELLAR,Manhattan,117,MAC DOUGAL STREET,10012,40.73012978037,-74.00038606626,American,2023-04-28,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,1008747,Indirecta (Tráfico)
40371718,ZAFI'S LUNCHEONETTE,Manhattan,500,GRAND STREET,10002,40.7147385531,-73.98260579443,American,2025-11-24,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10.0,A,1004065,Indirecta (Tráfico)
40371805,TY'S,Manhattan,114,CHRISTOPHER STREET,10014,40.73319280806,-74.00547734234,American,2025-12-03,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12.0,A,1010036,Indirecta (Tráfico)
40372262,LA RIPAILLE,Manhattan,605,HUDSON STREET,10014,40.73735385778,-74.00574110539,French,2025-08-21,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13.0,A,1011371,Indirecta (Tráfico)
40372417,DON FILIPPO RESTAURANT,Manhattan,1133,LEXINGTON AVENUE,10075,40.77464250823,-73.9591072831,Italian,2024-10-03,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,1043268,Indirecta (Tráfico)
40372466,"MURALS ON 54, RANDOLPH'S",Manhattan,65,WEST   54 STREET,10019,40.76186522252,-73.97733031954,American,2025-10-17,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,41.0,Sin Calificación,1034786,Indirecta (Tráfico)
40372971,RACQUET & TENNIS CLUB,Manhattan,370,PARK AVENUE,10022,40.75879834576,-73.97281207931,American,2024-09-12,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,1035713,Indirecta (Tráfico)
40373113,ASTRO RESTAURANT,Manhattan,101,WEST   55 STREET,10019,40.76313625147,-73.97839841298,American,2025-11-06,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,23.0,Sin Calificación,1023394,Indirecta (Tráfico)
40373462,VILLA BERULIA,Manhattan,107,EAST   34 STREET,10016,40.74686574617,-73.98082174297,Italian,2024-12-09,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,1078763,Indirecta (Tráfico)
40373500,VICTOR'S CAFE,Manhattan,236,WEST   52 STREET,10019,40.76296148404,-73.9838530007,Latin American,2025-07-23,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13.0,A,1080858,Directa (Rivales)
40373669,BUBO,Manhattan,515,3 AVENUE,10016,40.74604727577,-73.97786984907,Mediterranean,2025-10-16,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,8.0,A,1020177,Indirecta (Tráfico)
40373888,IL MULINO,Manhattan,86,WEST    3 STREET,10012,40.72984432071,-73.99896087285,Italian,2024-10-15,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11.0,A,1008673,Indirecta (Tráfico)
40373912,THE MALT HOUSE,Manhattan,206,THOMPSON STREET,10012,40.72878758884,-73.99935055587,American,2025-08-09,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,9.0,A,1077847,Indirecta (Tráfico)
40373937,SHUN LEE,Manhattan,37,WEST   65 STREET,10023,40.77227389939,-73.98036309909,Chinese,2025-10-15,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21.0,Z,1028160,Indirecta (Tráfico)
40374192,ELIO'S,Manhattan,1621,SECOND AVENUE,10028,40.77670406411,-73.95260687884,Italian,2025-11-05,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,30.0,Sin Calificación,1048737,Indirecta (Tráfico)
40374415,OMEN AZEN,Manhattan,113,THOMPSON STREET,10012,40.72582322846,-74.00185083313,Japanese,2024-12-05,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,26.0,Sin Calificación,1007787,Indirecta (Tráfico)
40374834,CASA BELLA,Manhattan,127,MULBERRY STREET,10013,40.71799515067,-73.99803755456,Italian,2024-11-07,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,37.0,Sin Calificación,1002652,Indirecta (Tráfico)
40374974,CHEZ NAPOLEON,Manhattan,365,WEST   50 STREET,10019,40.76320355933,-73.98827145272,French,2024-10-23,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,7.0,A,1025173,Indirecta (Tráfico)
40375616,ARTURO'S,Manhattan,1617,YORK AVENUE,10028,40.77545296805,-73.94747716452,Italian,2024-10-03,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,1050540,Indirecta (Tráfico)
40375699,GENE'S RESTURANT,Manhattan,73,WEST   11 STREET,10011,40.73493582977,-73.99718548142,Italian,2025-01-08,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12.0,A,1009601,Indirecta (Tráfico)
40376142,LUSARDI'S RESTAURANT,Manhattan,1494,SECOND AVENUE,10075,40.77250580327,-73.95564622554,Italian,2025-11-24,Thawing procedure improper.,Not Critical,12.0,A,1045226,Indirecta (Tráfico)
40376352,BLUE NOTE JAZZ,Manhattan,131,WEST    3 STREET,10012,40.73076381906,-74.00079378868,American,2025-11-12,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11.0,A,1008768,Indirecta (Tráfico)
40376496,THE MONSTER,Manhattan,80,GROVE STREET,10014,40.73340700477,-74.00242836844,American,2025-11-20,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13.0,A,1010232,Indirecta (Tráfico)
40377325,JACKSON HOLE,Manhattan,521,THIRD AVENUE,10016,40.74622291538,-73.97773986754,Hamburgers,2025-11-19,Failure to post or conspicuously post healthy eating information,Not Critical,0.0,Sin Calificación,1020174,Indirecta (Tráfico)
40377630,JOHN'S COFFEE SHOP,Manhattan,823,SECOND AVENUE,10017,40.75102757214,-73.97133908698,American,2025-10-01,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,1037564,Indirecta (Tráfico)
40377789,CAFE LUXEMBOURG,Manhattan,200,WEST   70 STREET,10023,40.7774646539,-73.98301540541,French,2025-03-21,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12.0,A,1030348,Indirecta (Tráfico)
40378212,CUCHIFRITOS,Manhattan,168,EAST  116 STREET,10029,40.79828609043,-73.94086392362,Spanish,2025-08-15,Sin Violaciones Registradas,Not Applicable,0.0,Sin Calificación,1052256,Indirecta (Tráfico)
40378571,IL CANTINORI,Manhattan,32,EAST   10 STREET,10003,40.73240223736,-73.99307221868,Italian,2025-07-28,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical,12.0,A,1009097,Indirecta (Tráfico)
40378579,ANDREW'S NYC DINER,Manhattan,463,7 AVENUE,10018,40.75174161377,-73.99005645841,American,2025-07-07,"Unclean or cracked whole eggs or unpasteurized liquid, frozen or powdered eggs kept or used.",Critical,12.0,A,1015222,Indirecta (Tráfico)
40378874,TERRA BLUES,Manhattan,149,BLEEKER STREET,10012,40.72826882815,-73.99935777693,American,2024-09-14,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,1008649,Indirecta (Tráfico)
40379149,MONTE'S TRATTORIA,Manhattan,97,MACDOUGAL STREET,10012,40.72944358561,-74.00096335165,Italian,2025-01-29,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,1008734,Indirecta (Tráfico)
