NOMBRE,CATEGORIA,COORDENADAS
HAMPTON INN HOTEL TIMES SQUARE CENTRAL,Comercial,POINT (-73.988575101821 40.755677970017)
BROWNSTONES HOUSES BUILDING 30,Residencial,POINT (-73.968415944305 40.788429486128)
HONDURAS CONSULATE,Gobierno,POINT (-73.991521831768 40.75324340271)
HAMILTON FISH PARK LIBRARY,Cultural,POINT (-73.979424584962 40.719788412967)
SUNKEN MEADOW FIELD 41,Recreativo,POINT (-73.915342728486 40.796012948822)
NEW YORK UNIVERSITY LINGUISTICS BUILDING,Educativo,POINT (-73.9949515954 40.729400853737)
NAMIBIA MISSION TO UN,Gobierno,POINT (-73.97885308823 40.747877863259)
QUEEN ELIZABETH II SEPTEMBER 11 GARDEN,Recreativo,POINT (-74.009389347192 40.70473949372)
SMITH HOUSES BUILDING 12,Residencial,POINT (-73.997353965428 40.711645029556)
GRAMERCY ARTS HIGH SCHOOL,Educativo,POINT (-73.987268609366 40.735588631582)
HARVEST COLLEGIATE HIGH SCHOOL,Educativo,POINT (-73.995547529163 40.736526725684)
HOSPITAL FOR SPECIAL SURGERY,Salud,POINT (-73.952784163139 40.765048252801)
SMITH HOUSES BUILDING 5,Residencial,POINT (-73.999206725538 40.710178800922)
GUATEMALA CONSULATE,Gobierno,POINT (-73.987346118407 40.739380331433)
MARK HOTEL,Comercial,POINT (-73.963345168023 40.775311696649)
JEFFERSON MARKET LIBRARY,Cultural,POINT (-73.999079271614 40.734668701053)
OLD CROTON AQUEDUCT GATEHOUSE,Recreativo,POINT (-73.959548693257 40.808476150649)
BROWNSTONES HOUSES BUILDING 31,Residencial,POINT (-73.969217654232 40.788432148056)
MT SINAI KLINGENSTEIN CLINICAL CENTER,Salud,POINT (-73.952649448308 40.789864360441)
CZECH MISSION REPUBLIC TO UN,Gobierno,POINT (-73.959919158479 40.77904189127)
RANDALLS ISLAND FIELD 91,Recreativo,POINT (-73.931126764651 40.785852089892)
DSNY GARAGE BRONX 7,Gobierno,POINT (-73.91450282895 40.869668451496)
TRIBUTE WTC VISITOR CENTER,Cultural,POINT (-74.012413324884 40.709840919026)
PS 189,Educativo,POINT (-73.927755841194 40.853067278328)
PORTUGAL MISSION TO UN,Gobierno,POINT (-73.966343966542 40.752510232092)
PROFESSIONAL CHILDRENS SCHOOL,Educativo,POINT (-73.986055946722 40.770421082093)
FORLINIS RESTAURANT,Comercial,POINT (-73.999498053581 40.716938224313)
JAMES WELDON JOHNSON COMMUNITY CENTER,Recreativo,POINT (-73.942491667692 40.796696648977)
FT TRYON PARK NORTH EASTERN PARKING LOT,Recreativo,POINT (-73.932280198605 40.865459415399)
RANDALLS ISLAND ICAHN STADIUM,Recreativo,POINT (-73.924602563897 40.793043837452)
FIRST HOUSES COMPLEX,Residencial,POINT (-73.986056226677 40.723701744877)
WASHINGTON JEFFERSON HOTEL,Comercial,POINT (-73.986753417504 40.76322493897)
LONGACRE THEATRE,Cultural,POINT (-73.985914368716 40.760419580604)
NY PRESBYTERIAN LOWER MANHATTAN HOSPITAL ER,Salud,POINT (-74.004734442614 40.710080339091)
INWOOD HILL PARK HOMERS DOG RUN,Recreativo,POINT (-73.92170184633 40.871183014861)
FIRST HOUSES BUILDING 1,Residencial,POINT (-73.985849854065 40.723270117334)
TRUMP PLACE,Residencial,POINT (-73.988391278857 40.777714367071)
MURRAY HILL POST OFFICE,Gobierno,POINT (-73.980104330129 40.746848257854)
CIENA BUILDING,Residencial,POINT (-73.944412323054 40.786328487832)
NYU DENTAL COLLEGE,Educativo,POINT (-73.978269100658 40.737894971675)
MANHATTANVILLE HOUSES BUILDING 5,Residencial,POINT (-73.953991493848 40.817534467225)
HOSPITAL FOR SPECIAL SURGERY INTEGRATIVE CARE CENTER,Salud,POINT (-73.971009228939 40.763645916858)
RANDALLS ISLAND FIELD 10,Recreativo,POINT (-73.924175885765 40.794207192241)
CLAREMONT PLAYGROUND,Recreativo,POINT (-73.962112209593 40.815027069116)
PS 163 ALFRED E SMITH,Educativo,POINT (-73.968612585782 40.794690310827)
HUNGARY CONSULATE,Gobierno,POINT (-73.968657363571 40.756740068519)
GLOBAL COMMUNITY CHARTER SCHOOL,Educativo,POINT (-73.935006496834 40.816933804891)
PEARL HOTEL,Comercial,POINT (-73.985515764648 40.761404175513)
BUSINESS OF SPORTS SCHOOL,Educativo,POINT (-73.990798068332 40.763714705309)
AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE,Educativo,POINT (-73.993770007906 40.769036918173)
STROKOS PIZZERIA ST NICHOLAS AV,Comercial,POINT (-73.940185805904 40.839374068945)
VAMOS A SEMBRAR GARDEN,Recreativo,POINT (-73.979071013095 40.728322718287)
BUCKLEY SCHOOL BRIAN R WALSH BUILDING,Educativo,POINT (-73.962389037604 40.771602776245)
DR GERTRUDE B KELLY PLAYGROUND,Recreativo,POINT (-74.001988705672 40.741721221616)
NYU DOWNTOWN HOSPITAL,Salud,POINT (-74.004991467738 40.710511902426)
INWOOD HILL PARK MARSH HABITAT,Recreativo,POINT (-73.921618542317 40.874385054743)
FIRE MUSEUM,Cultural,POINT (-74.006954543911 40.72562199185)
BARNARD COLLEGE MILBANK HALL,Educativo,POINT (-73.962991100634 40.810645082606)
AMERICAN RED CROSS,Gobierno,POINT (-73.993706085146 40.76445898455)
MELA HOTEL,Comercial,POINT (-73.984316520126 40.75644201578)
SOHOTEL,Comercial,POINT (-73.994832300598 40.719520804348)
NEW YORK STATE PSYCHIATRIC INSTITUTE KOLB ANNEX BUILDING,Salud,POINT (-73.943316582868 40.842973701003)
WEST 100 ST PLAYGROUND,Recreativo,POINT (-73.96266790208 40.793759965985)
GREAT TOMORROWS ELEMENTARY MIDDLE SCHOOL,Educativo,POINT (-73.946231913134 40.806231205357)
CENTRAL PARK SPECTOR PLAYGROUND,Recreativo,POINT (-73.968416521429 40.784508882107)
SAMUEL CITY HOUSES,Residencial,POINT (-73.938600733545 40.820017157194)
MAYFAIR HOTEL,Comercial,POINT (-73.985925203058 40.761235834449)
BELLECLAIRE HOTEL,Comercial,POINT (-73.981216921394 40.782385143031)
MANHATTANVILLE HOUSES BUILDING 1,Residencial,POINT (-73.956812270422 40.816362651821)
ST THOMAS CHOIR SCHOOL,Educativo,POINT (-73.980246805464 40.766317304436)
URUGUAY CONSULATE,Gobierno,POINT (-73.976501663072 40.756994650594)
FIT CO-ED DORM,Educativo,POINT (-73.99530801628 40.747012861862)
CITIGROUP CENTER BUILDING,Comercial,POINT (-73.970347716781 40.758369070555)
RIVERSIDE PARK BOAT BASIN CAFE,Comercial,POINT (-73.984474720611 40.78574924106)
ROCKEFELLER UNIVERSITY LYDEN HOUSE,Educativo,POINT (-73.966269989092 40.756215268605)
FREDERICK DOUGLASS PLAYGROUND,Recreativo,POINT (-73.967530946314 40.797107590346)
TRUMP TOWER,Residencial,POINT (-73.97391445589 40.762394773818)
THE MARCEL AT GRAMERCY HOTEL,Comercial,POINT (-73.982308002423 40.739511742571)
STUYVESANT TOWN 2 STUYVESANT OVAL 4 STUYVESANT OVAL,Residencial,POINT (-73.977618234655 40.730814812441)
AFGHANISTAN CONSULTE,Gobierno,POINT (-73.977138099163 40.750506990372)
WEILL CORNELL MEDICAL COLLEGE,Educativo,POINT (-73.954795958353 40.764805145525)
HAMILTON FISH PARK,Recreativo,POINT (-73.98084522492 40.719823688142)
WALD HOUSES BUILDING 4,Residencial,POINT (-73.976989026515 40.721509401761)
RENAISSANCE HOTEL 57,Comercial,POINT (-73.969575919275 40.760849292112)
ST LUKES SCHOOL,Educativo,POINT (-74.006705992309 40.732621875052)
FT PARK BILLINGS TERRACE OVERLOOK,Recreativo,POINT (-73.934950714578 40.860120749197)
MANHATTANVILLE HOUSES BLDG 4,Residencial,POINT (-73.955070504818 40.817091952931)
PANAMA CONSULATE,Gobierno,POINT (-73.981238997782 40.758278845026)
JOHNSON HOUSES BUILDING 6,Residencial,POINT (-73.942900308742 40.797439928479)
UNION SQUARE PLAYGROUND,Recreativo,POINT (-73.990480571925 40.736189766627)
NEW ZEALAND CONSULATE,Gobierno,POINT (-73.979625203423 40.751917229375)
LINCOLN CENTER METROPOLITAN OPERA HOUSE,Cultural,POINT (-73.984264798826 40.772757050368)
TAVERN ON THE GREEN,Recreativo,POINT (-73.977814501769 40.772191093156)
PERU CONSULATE 14 FL,Gobierno,POINT (-73.969598263988 40.754704639593)
EAST HARLEM SCHOLARS ACADEMY MIDDLE SCHOOL,Educativo,POINT (-73.94253223244 40.79004126323)
SEWARD PARK EXTENSION HOUSES BUILDING 3,Residencial,POINT (-73.988684078473 40.716873261454)
SAMUEL CITY HOUSES BUILDING 32,Residencial,POINT (-73.939434971815 40.819443405387)
VESUVIO PLAYGROUND,Recreativo,POINT (-74.00258101931 40.725400290785)
GOMPERS HOUSES COMPLEX,Residencial,POINT (-73.982003496502 40.71818074703)
HOLCOMBE RUCKER PARK,Recreativo,POINT (-73.936000456857 40.829183748934)
COLUMBIA UNIVERSITY MILLER THEATRE,Educativo,POINT (-73.963401347141 40.808092918466)
FREDERICK DOUGLAS ACADEMY 2,Educativo,POINT (-73.954101462208 40.80257003547)
MUSEUM OF ILLUSIONS,Cultural,POINT (-74.002902226919 40.739631705833)
VA NY HARBOR HEALTHCARE SYSTEM,Salud,POINT (-73.976838179862 40.736890718325)
RAMAZ LOWER SCHOOL,Educativo,POINT (-73.956384469791 40.779132332705)
NYS OMH KIRBY FORENSIC PSYCHIATRIC CENTER,Salud,POINT (-73.930845354879 40.788459068261)
BELGIUM CONSULATE,Gobierno,POINT (-73.969965377712 40.753380317932)
WAGNER HOUSES BUILDING 12,Residencial,POINT (-73.931401073338 40.799858395615)
BARUCH HOUSES BUILDING 6,Residencial,POINT (-73.978103681216 40.716220316008)
PS 42 BENJAMIN ALTMAN,Educativo,POINT (-73.990817341873 40.716071015494)
AMSTERDAM HOUSES BLDG 2,Residencial,POINT (-73.986377975344 40.772790004733)
BHUTAN CONSULATE,Gobierno,POINT (-73.969515347153 40.749721201155)
SRI LANKA CONSULATE,Gobierno,POINT (-73.971176132742 40.750793702168)
NYU TORCH CLUB,Recreativo,POINT (-73.994651054336 40.73010725199)
AZERBAIJAN MISSION TO UN,Gobierno,POINT (-73.965541705677 40.752193627077)
FT TRYON PARK DONGAN LAWN,Recreativo,POINT (-73.931052721136 40.863229107384)
WALD HOUSES BUILDING 13,Residencial,POINT (-73.975441113389 40.71937119322)
STUYVESANT TOWN 277 AVE C,Residencial,POINT (-73.975045688515 40.730144890488)
HIGHBRIDGE PARK JUAN BOSCH PLAZA,Recreativo,POINT (-73.926360422207 40.85372665436)
CENTRAL PARK ZOO TEMPERATE TERRITORY,Recreativo,POINT (-73.972431612591 40.768253780756)
JOHN JAY PARK COMPLEX,Recreativo,POINT (-73.949496239181 40.769279854276)
COLUMBIA UNIVERSITY BUTLER LIBRARY,Educativo,POINT (-73.963260980505 40.806269862401)
MT SINAI KRAVIS CHILDRENS HOSPITAL,Salud,POINT (-73.95328271264 40.789950316519)
STUYVESANT TOWN 330 1 AVE 400 E 20 410 E 20,Residencial,POINT (-73.979738310399 40.734476023617)
NYU SCHOOL OF PROFESSIONAL STUDIES 7 E 12 ST,Educativo,POINT (-73.993711832965 40.734514817807)
SEAGRAM BUILDING,Comercial,POINT (-73.972215913751 40.758480404069)
FDR DRIVE MALLS,Recreativo,POINT (-73.943957575883 40.782317628117)
ROCKEFELLER UNIVERSITY POWER HOUSE,Educativo,POINT (-73.956140630107 40.761254944281)
BROADWAY AT TIMES SQUARE HOTEL,Comercial,POINT (-73.983419507714 40.758149144478)
PS 38 ROBERTO CLEMENTE,Educativo,POINT (-73.944764613809 40.788859770314)
SMITH HOUSES,Residencial,POINT (-73.999255906435 40.710413493413)
GIRLS PREP LOWER EAST SIDE MIDDLE SCHOOL,Educativo,POINT (-73.98256855426 40.729337082956)
MONSIGNOR KETT PLAYGROUND,Recreativo,POINT (-73.920775676613 40.862683923545)
RECTOR PARK,Recreativo,POINT (-74.017165817417 40.709284528903)
HIPPO PLAYGROUND,Recreativo,POINT (-73.978216880788 40.79305760394)
CENTRAL PARK ZOO TROPIC ZONE,Recreativo,POINT (-73.972533403085 40.767635285418)
MILBURN HOTEL,Comercial,POINT (-73.981851710319 40.781928877248)
BLEECKER PLAYGROUND,Recreativo,POINT (-74.005485381909 40.736399244434)
TEACHERS COLLEGE GRACE DODGE HALL,Educativo,POINT (-73.959792275583 40.810271102693)
RICHARD ROGERS THEATRE,Cultural,POINT (-73.986713141882 40.759125885124)
ALDEN BUILDING,Residencial,POINT (-73.971270096513 40.78306527969)
LORRAINE HANSBERRY PARK HANDBALL COURT,Recreativo,POINT (-73.992357905462 40.763119245782)
ILKA TANYA PAYAN MEMORIAL PARK,Recreativo,POINT (-73.945197705741 40.83405555977)
JENNINGS GALLERY AT KENKELEBA,Cultural,POINT (-73.982865443862 40.72164720088)
SWITZERLAND CONSULATE,Gobierno,POINT (-73.974847784765 40.749658131279)
NEW YORK UNIVERSITY 194 MERCER STREET,Educativo,POINT (-73.996844880904 40.7263376531)
CENTRAL PARK RAMBLE AREA W,Recreativo,POINT (-73.971078872405 40.77759069165)
FORT GEORGE PLAYGROUND,Recreativo,POINT (-73.925909883157 40.858427306761)
ST NICHOLAS PARK,Recreativo,POINT (-73.949003913493 40.817181449519)
BRIDGE APARTMENTS,Residencial,POINT (-73.935136495957 40.847936103175)
SERBIA MISSION TO UN,Gobierno,POINT (-73.969353202295 40.768914802466)
SLOVENIA MISSION TO UN,Gobierno,POINT (-73.975816783749 40.74941281539)
LEXINGTON HOUSES BUILDING 3,Residencial,POINT (-73.949317478716 40.7873870522)
SUNKEN MEADOW FIELD 36,Recreativo,POINT (-73.916068895914 40.795019479927)
MARCUS GARVEY PARK DOG RUN,Recreativo,POINT (-73.943189910964 40.802866864683)
BROWNSTONES HOUSES BUILDING 33,Residencial,POINT (-73.969336662906 40.788488419322)
HRA CENTRALIZED RENT PROCESSING UNIT (CRPU) #71,Gobierno,POINT (-73.988328448577 40.735742666844)
COLUMBIA UNIVERSITY RIVER HALL,Educativo,POINT (-73.966355466352 40.807190054721)
BARNARD COLLEGE BRINCKERHOF HALL,Educativo,POINT (-73.962706694724 40.81021825504)
LINCOLN HOUSES BUILDING 1,Residencial,POINT (-73.935360226785 40.811315267982)
DOUBLETREE HOTEL TIMES SQUARE WEST,Comercial,POINT (-73.993139227578 40.756779440603)
TUVALU MISSION TO UN,Gobierno,POINT (-73.971764389181 40.750053526077)
SAMUEL CITY HOUSES BUILDING 21,Residencial,POINT (-73.938960474947 40.820059985305)
FELLOWSHIP OF LEARNING SCHOOL,Educativo,POINT (-73.940539475922 40.810105626553)
SUNKEN MEADOW FIELD 31,Recreativo,POINT (-73.915176380621 40.793717018197)
RIIS HOUSES BUILDING 10,Residencial,POINT (-73.975396561774 40.723887878748)
GALLIVANT HOTEL TIMES SQUARE,Comercial,POINT (-73.986405647997 40.760606139761)
DWIGHT SCHOOL RIVERSIDE CAMPUS KINDERGARTEN,Educativo,POINT (-73.988759894731 40.776860232483)
CHATHAM TOWERS HOUSES,Residencial,POINT (-74.00004794778 40.713781910642)
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Educativo,POINT (-73.950240801604 40.818387534149)
THE SHED MULTI ARTS CENTER,Cultural,POINT (-74.002610773176 40.753226854042)
CHURCH STREET POST OFFICE,Gobierno,POINT (-74.010191237973 40.712571921179)
CLINTON HOUSES BUILDING 2,Residencial,POINT (-73.944956849545 40.794590744233)
FIT MARVIN FELDMAN CENTER,Educativo,POINT (-73.994851197296 40.747377722573)
VIETNAM CONSULATE & MISSION TO UN,Gobierno,POINT (-73.96572542555 40.752259122269)
PERCY E SUTTON EDUCATIONAL CAMPUS,Educativo,POINT (-73.947374088525 40.817139950957)
ROCKEFELLER UNIVERSITY NURSES RESIDENCE,Educativo,POINT (-73.955330772407 40.762136692372)
PARK VIEW HOTEL W 110 ST,Comercial,POINT (-73.951883986719 40.798261033202)
HERALD CENTER,Comercial,POINT (-73.98831823046 40.749579669871)
COLUMBIA UNIVERSITY - ARMSTRONG,Educativo,POINT (-73.965258486024 40.805495114873)
NYS OMH WATER TOWER,Salud,POINT (-73.927784280478 40.787091257231)
THE PUCK BUILDING,Comercial,POINT (-73.99549561373 40.724439424288)
CENTRAL PARK GREAT LAWN E,Recreativo,POINT (-73.965460204573 40.781022925784)
BARUCH HOUSES BUILDING 5,Residencial,POINT (-73.977328181041 40.716268868625)
CHELSEA HOTEL,Comercial,POINT (-73.996854987845 40.744368094216)
LOWER EAST SIDE ECOLOGY CENTER ENVIRONMENTAL LEARNING CENTER,Recreativo,POINT (-73.976133644951 40.712818003036)
NEDERLANDER THEATRE,Cultural,POINT (-73.988252121876 40.755549509089)
ACTORS TEMPLE THEATRE,Cultural,POINT (-73.989076555682 40.761243249062)
ICELAND CONSULATE,Gobierno,POINT (-73.971287041511 40.755638673379)
COLLYER BROTHERS PARK,Recreativo,POINT (-73.941036803166 40.80853225115)
TRANSFIGURATION SCHOOL EARLY CHILDHOOD CAMPUS,Educativo,POINT (-73.996431066681 40.714650014818)
SUTTON PLACE PARK,Recreativo,POINT (-73.960208086621 40.756726166869)
HARBORVIEW TERRACE COMMUNITY ART CENTER,Residencial,POINT (-73.99059095642 40.768874772677)
BENNETT REST,Recreativo,POINT (-73.938627485818 40.856176390542)
BROWNSTONES HOUSES BUILDING 1,Residencial,POINT (-73.9698134266 40.791472903101)
CLINTON HOUSES BUILDING 4,Residencial,POINT (-73.946221854263 40.794386093887)
MARRIOTT COURTYARD TIMES SQUARE HOTEL,Comercial,POINT (-73.986211555031 40.75357692682)
PARK AVENUE E 123 STREET HOUSES,Residencial,POINT (-73.939209749114 40.803048076424)
NYU MERCER LOUNGE,Educativo,POINT (-73.994492934729 40.72968587893)
TISCH CHILDRENS ZOO CIRCULAR BENCH,Recreativo,POINT (-73.970441291833 40.76833882231)
9/11 MEMORIAL MUSEUM,Cultural,POINT (-74.012658712986 40.711428541917)
BARUCH COLL STEVEN L NEWMAN HALL,Educativo,POINT (-73.984539988359 40.73881552135)
VANGUARD HIGH SCHOOL,Educativo,POINT (-73.959663505175 40.765682583553)
BARUCH HOUSES BUILDING 13,Residencial,POINT (-73.979343510485 40.716561105732)
SMITH HOUSES BUILDING 7,Residencial,POINT (-74.000217211138 40.710715986612)
SCHOOL OF VISUAL ARTS,Educativo,POINT (-73.98226352357 40.738704309751)
WEST 87 STREET PARK & GARDEN,Recreativo,POINT (-73.970975795926 40.787032228182)
CENTRAL PARK MOUNT,Recreativo,POINT (-73.953828884287 40.793916693677)
W HOTEL TIMES SQUARE,Comercial,POINT (-73.985385997276 40.759370449144)
RADISSON MARTINIQUE HOTEL BROADWAY,Comercial,POINT (-73.987797596941 40.748293531384)
NEPAL CONSULATE,Gobierno,POINT (-73.97056388556 40.754755388748)
RIIS 2 HOUSES BUILDING 19,Residencial,POINT (-73.975811903058 40.723346423366)
BLADE LOUNGE WEST,Comercial,POINT (-74.006924434112 40.754867422926)
EAST VILLAGE HOTEL,Comercial,POINT (-73.98498941506 40.728392740729)
COURTNEY CALLENDER PLAYGROUND,Recreativo,POINT (-73.940084313342 40.81005652716)
JOAN OF ARC PARK,Recreativo,POINT (-73.976395702136 40.794346374729)
HOUSTON STREET PLAYGROUND,Recreativo,POINT (-73.991001461361 40.722782483197)
CARVER HOUSES BUILDING 12,Residencial,POINT (-73.948632967994 40.792859283703)
CONGO BRAZZAVILLE MISSION,Gobierno,POINT (-73.969460725241 40.767467182126)
INDONESIA MISSION TO THE UN,Gobierno,POINT (-73.972580943394 40.746871705235)
RIIS HOUSES BUILDING 2,Residencial,POINT (-73.974210158598 40.725507548006)
MOCCA GALLERY,Cultural,POINT (-73.966870951356 40.764791592118)
NYS OMH MAINTENANCE PLUMBING SHOP,Salud,POINT (-73.927384679882 40.786459435196)
WASHINGTON HOTEL,Comercial,POINT (-73.935809616286 40.803281559146)
COLUMBIA UNIVERSITY - WATSON,Educativo,POINT (-73.965512855784 40.807652245414)
MANDELL SCHOOL PRE SCHOOL UPPER WEST SIDE,Educativo,POINT (-73.966527353212 40.793756636194)
JHS 143 ELEANOR ROOSEVELT,Educativo,POINT (-73.930937385883 40.849141835131)
PUERTO RICO FEDERAL AFFAIRS ADMINISTRATION,Gobierno,POINT (-73.982283638912 40.760935221875)
NOVOTEL HOTEL TIMES SQUARE,Comercial,POINT (-73.983678554385 40.762645313699)
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Educativo,POINT (-73.987286880983 40.73555391893)
VILLAGE VIEW CO-OP BUILDING 6,Residencial,POINT (-73.986947107388 40.724699792595)
TIWAN MISSION,Gobierno,POINT (-73.97212282706 40.750502476881)
CENTRAL PARK MEWS APARTMENT BUILDING,Residencial,POINT (-73.977282389298 40.765422812212)
NYC CENTER THEATER,Cultural,POINT (-73.97959168105 40.763825143424)
LEBANON MISSION TO UN,Gobierno,POINT (-73.966082004067 40.752413196519)
PS 76 GARDEN,Recreativo,POINT (-73.951155653351 40.806163210046)
NEW YORK UNIVERSITY SHIMKIN HALL,Educativo,POINT (-73.996607410764 40.729166575301)
MANNES SCHOOL OF MUSIC,Educativo,POINT (-73.996582636379 40.73653660857)
THOMPKINS SQUARE MIDDLE SCHOOL,Educativo,POINT (-73.981310651273 40.724131611763)
CENTRAL PARK MALL,Recreativo,POINT (-73.971837882602 40.771757212293)
PS 242 YOUNG DIPLOMATS MAGNET ACADEMY,Educativo,POINT (-73.94802861072 40.806089687217)
WALD PLAYGROUND,Recreativo,POINT (-73.976910674619 40.719652261566)
NEWTON HOTEL,Comercial,POINT (-73.972109084632 40.793509139133)
ISHAM PARK BOULDERS SOUTH LAWN,Recreativo,POINT (-73.919333433036 40.869315031542)
SAMUEL CITY HOUSES BUILDING 26,Residencial,POINT (-73.937727871352 40.818968426551)
GOVERNORS ISLAND LIGGETT TERRACE,Recreativo,POINT (-74.018740246203 40.689183185525)
ASPHALT GREEN GYM & POOL BATTERY PARK CITY,Recreativo,POINT (-74.014796088463 40.716083429123)
BLACKFRIARS REPERTORY THEATRE,Cultural,POINT (-73.964969025138 40.765959752852)
TAFT HOUSES BUILDING 4,Residencial,POINT (-73.947003023237 40.799372209803)
CARNEGIE HALL,Cultural,POINT (-73.97997047773 40.765017637972)
LAGUARDIA ADDITION PROJECTS,Residencial,POINT (-73.988612711498 40.711650038576)
RANDALLS ISLAND FIELDS,Recreativo,POINT (-73.930995711447 40.786124236916)
MARCUS GARVEY POOL,Recreativo,POINT (-73.943434914666 40.805231391303)
MORRIS PARK SENIOR CITIZENS HOME HOUSES,Residencial,POINT (-73.941710674038 40.805475435023)
HARLEM VILLAGE ACADEMY WEST MIDDLE SCHOOL,Educativo,POINT (-73.940915299803 40.821303795123)
CHILDRENS MAGICAL GARDEN,Recreativo,POINT (-73.98640327763 40.720734717174)
STUYVESANT TOWN 420 E20 TO 440 E20,Residencial,POINT (-73.978617471714 40.734070463105)
FACING HISTORY SCHOOL,Educativo,POINT (-73.993420515838 40.765677068237)
WAGNER HOUSES BUILDING 4,Residencial,POINT (-73.931546801195 40.798256693802)
PETER COOPER VILLAGE BUILDING 511 E 20 ST,Residencial,POINT (-73.977034297214 40.734098279794)
SOUTHBRIDGE TOWERS,Residencial,POINT (-74.003647095071 40.708870359383)
RIVERSIDE PARK 101 ST SOCCER FIELD,Recreativo,POINT (-73.97387995632 40.800172825037)
DYCKMAN SOCCER FIELDS,Recreativo,POINT (-73.928909953542 40.875328268584)
PATHMARK SUPERMARKETS 300 W 145TH ST,Comercial,POINT (-73.942819908525 40.82283466951)
CONSERVATORY GARDENS WEST LANDSCAPE,Recreativo,POINT (-73.953966539525 40.793336057112)
COLUMBIA UNIVERSITY CARMAN HALL,Educativo,POINT (-73.964409546075 40.806734212862)
CENTRAL PARK EAST 72 STREET PLAYGROUND,Recreativo,POINT (-73.96781493199 40.772143966716)
LENOX HILL HOSPITAL AMBULATORY SURGERY & MEDICAL PAVILION,Salud,POINT (-73.963239790189 40.764018384684)
BELLEVUE HOSPITAL CENTER,Salud,POINT (-73.976279483487 40.739468021331)
BARD GRADUATE CENTER DEGREE PROGRAMS & LIBRARY,Educativo,POINT (-73.971291909021 40.785920904593)
MARCUS GARVEY PLAYGROUND 124 ST NEAR MADISON AV,Recreativo,POINT (-73.942275015705 40.80536847095)
BRESLIN BAR & DINING ROOM,Comercial,POINT (-73.988055579494 40.745623816494)
NEW SCHOOL GOLDMARK PRACTICE CENTER,Educativo,POINT (-73.981316676203 40.772903593507)
MANHATTANVILLE HOUSES BLDG 2,Residencial,POINT (-73.956667049174 40.817013880934)
HARLEM HEBREW LANGUAGE CHARTER SCHOOL,Educativo,POINT (-73.953042687561 40.804804467925)
HRA SNAP CENTER EAST END S02,Gobierno,POINT (-73.935533049151 40.804761877343)
ACADEMY FOR SOFTWARE ENGINEERING,Educativo,POINT (-73.987425147546 40.735400309811)
CENTRAL PARK CHESS & CHECKERS HOUSE,Recreativo,POINT (-73.974626965196 40.769121494863)
HARLEM RIVER DRIVE MALLS,Recreativo,POINT (-73.934901187298 40.826766755057)
YALE CLUB,Cultural,POINT (-73.977512089967 40.753983420184)
DRY DOCK PLAYGROUND,Recreativo,POINT (-73.975241803272 40.725476557062)
6 ST AND AVE B COMMUNITY GARDEN,Recreativo,POINT (-73.98210700219 40.724321689793)
DSNY HEADQUARTERS,Gobierno,POINT (-74.00234317206 40.715523163428)
YM & YWHA OF WASHINGTON HEIGHTS AND INWOOD,Recreativo,POINT (-73.929478796561 40.860116349898)
HONDURAS MISSION 5 FL,Gobierno,POINT (-73.966150611547 40.752443265425)
STUYVESANT TOWN PETER COOPER VILLAGE,Residencial,POINT (-73.976995111526 40.734981244984)
OLIVER CROMWELL BUILDING,Residencial,POINT (-73.977167097856 40.776454928322)
HOSPITAL FOR JOINT DISEASES,Salud,POINT (-73.983038913694 40.734326713317)
BILL BOJANGLES ROBINSON PLAYGROUND,Recreativo,POINT (-73.937310340805 40.825325534389)
FIORELLO LA GUARDIA PARK,Recreativo,POINT (-73.998323382981 40.728547127521)
MARQUIS THEATRE,Cultural,POINT (-73.985753797872 40.758696061037)
FT TRYON PARK OVERLOOK SOUTH,Recreativo,POINT (-73.933131625162 40.863174655221)
ETHIOPIAN MISSION TO UN,Gobierno,POINT (-73.969915870013 40.752554807548)
CARRIAGE HOUSE CENTER FOR THE ARTS,Cultural,POINT (-73.976842907301 40.74864636083)
DREW-HAMILTON HOUSES BUILDING 4,Residencial,POINT (-73.94103634934 40.819577150554)
LA FONDA DEL SOL,Comercial,POINT (-73.976516176214 40.753795880214)
MORGAN GENERAL MAIL FACILITY,Gobierno,POINT (-73.998758683676 40.750706363416)
BROWNSTONES HOUSES BUILDING 14,Residencial,POINT (-73.968060322407 40.788770845495)
ISHAM PARK ISHAM ST ROCK OUTCROP,Recreativo,POINT (-73.920394515666 40.869609616252)
PS 126 JACOB AUGUST RIIS,Educativo,POINT (-73.997017252226 40.710272038762)
CENTRAL PARK CHERRY HILL FOUNTAIN,Recreativo,POINT (-73.972711623547 40.774695505065)
PUMPHOUSE PARK,Recreativo,POINT (-74.016208499261 40.712251759267)
BROWNSTONES HOUSES BUILDING 3,Residencial,POINT (-73.969920756318 40.791539529927)
MOUNT SINAI CENTER FOR ADVANCED MEDICINE,Salud,POINT (-73.952148912553 40.791618188348)
SQUADRON A ARMORY,Cultural,POINT (-73.953959070494 40.785682602431)
SIDNEY HILLMAN PLAYGROUND,Recreativo,POINT (-73.979660385197 40.715200854516)
WASHINGTON HOUSES BUILDING 15,Residencial,POINT (-73.947448236218 40.786412052577)
